DDO Code,DDO Name,Budget Code,Allotment Serial No,Allotment Date,Allotment ID,Alloted Amount,Expenditure,Surrender/Withdrwal,Deduct Amount,Balance
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,7,16-Apr-16,895,35000,35000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,8,16-Apr-16,896,5600,5600,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,9,16-Apr-16,897,27720,27720,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,10,16-Apr-16,898,18563,18563,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,11,16-Apr-16,899,32000,32000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,12,16-Apr-16,900,700,700,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,13,16-Apr-16,901,2850,2850,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,09-Jun-16,3044,4000,4000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,11-Apr-16,773,214000,214000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,11-Apr-16,774,288900,288900,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,11-Apr-16,775,2925,2925,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,11-Apr-16,776,338,338,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,11-Apr-16,777,315,144,0,0,171
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,6,11-Apr-16,778,100000,100000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,7,11-Apr-16,779,660,0,0,0,660
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,8,11-Apr-16,780,150000,150000,0,0,0
